trial_num	block_num	trialType	question	options	minimumDuration
1	1	message	"This is message with a comma, which is something you can use in the question."	NA	2
2	2	message_1_image	"This is a message"	images/3.png	2
3	3	slider_2_images	"Is this useful?"	yes\n0|no\n1|images/1.png|images/2.png	2
4	4	slider	"Is this useful?"	yes|no	2
5	4	dropdown	"Select your option:"	this|no this|or this?	2
6	4	textShort	"Please type your response to this question:"	"Type here..."	2
7	4	textLong	"Please type your response to this question but with more space:"	"Type here..."	2
8	4	numberInteger	"Give me an integer number"	"Type here..."	2
9	4 	numberDecimal	"Give me an floating point number"	"Type here..."	2
10	4	radio	"You can only select one option:"	this|no this|or this?|I don't \nlike this	2
11	4	checkmark	"Now, you're allowed to select multiple options."	Option 1|Option 2|Option 3|Option 4|Option 5|Option 6|Option 7|Option 8|Option 9	2
