trial_num	block_num	trialType	question	options	minimumDuration	source	questionID	english
1	1	message	这个问题是关于你在过去12个月以来的游戏活动情况。对于每种游戏，标明当你最大情况下，每周游完的小时数。将会给你提供6种不同的回答选项；请有且仅选择唯一选项：从不；少于1小时；1-3小时之间；3-5小时之间；5-10小时之间；超过10小时。如果你的回答介于截止点，请选择更低的选项（例如，如果每周游玩3小时，请选择选项“1-3小时之间”）。如果你正在游玩《堡垒之夜》或《我的世界》，请根据下列内容进行分类：\n 《堡垒之夜：拯救世界》或《堡垒之夜：大逃杀》 = 第一人称\第三人称射击类 \n 《堡垒之夜：创造》 = 益智游戏 \n 《我的世界》 = 益智游戏	NA	3	Video Game Questionnaire	NA	THIS QUESTION IS ABOUT YOUR GAMING ACTIVITIES DURING THE PAST 12 MONTHS. For each type of game, specify the number of hours played per week when you played the most. You will be given the choice between 6 different answers; Please choose one and only one: never ; less than 1 hour ; between 1 and 3 hours ; between 3 and 5 hours ; between 5 and 10 hours ; more than 10 hours. If your answer is at the cut-off, please select the lower option (e.g. if 3 hours per week, select 1 to 3). If you are playing Fortnite and/or Minecraft, please classify as shown: Fortnite: Save the World or Battle Royale = First/Third Person Shooters Fortnite Creative = Puzzle Minecraft = Puzzle
2	1	radio	第一人称\第三人称射击类：（例如，使命召唤、光环、Apex英雄、半衰期、守望先锋、反恐精英等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	shooters_last_year	FIRST/THIRD PERSON SHOOTERS (Call Of Duty, Halo, Apex Legends, Half-Life, Overwatch, Counterstrike …)
3	1	radio	动作角色扮演游戏\冒险游戏：（例如，巫师、质量效应、辐射4、上古卷轴5：天际、侠盗猎车、刺客信条、古墓丽影、最后的生还者等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	action_last_year	ACTION-RPG/ADVENTURE (The Witcher, Mass Effect, Fallout 4, Skyrim, GTA, Assassin’s Creed, Tomb Raider, The Last of Us, ...)
4	1	radio	体育\竞速类：（例如，FIFA、NHL、马里奥赛车、极品飞车、极限竞速、火箭联盟等等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	sport_last_year	SPORTS/DRIVING (Fifa, NHL, Mario Kart, Need for Speed, Forza, Rocket League …)
5	1	radio	即时战略\多人在线竞技游戏（MOBA）：（例如，星际争霸系列、魔兽争霸系列、DotA、命令与征服、英雄联盟、帝国时代、宝可梦大集结等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	strategy_last_year	REAL-TIME STRATEGY/MOBA (Starcraft, Warcraft I, II & III, DotA, Command & Conquer, League of Legends, Age of Empires, Pokemon Unite)
6	1	radio	回合制\非动作角色扮演\幻想游戏：（例如，魔兽世界、最终幻想、宝可梦、神界：原罪2、时空之轮等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	turnbased_last_year	TURN-BASED/NON-ACTION ROLE-PLAYING/FANTASY (World of Warcraft, Final Fantasy, Pokemon, ORIGINAL SIN2, Chrono Trigger…)
7	1	radio	音游：（例如，吉他英雄、热舞革命、摇滚乐队、节奏光剑等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	music_last_year	MUSIC GAMES (Guitar Hero, DDR, Rock Band, Beat Saber …)
8	1	radio	其他不属于上述类型的游戏：（例如，手机游戏、网页游戏、格斗游戏等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	other_last_year	OTHER : games that don’t fit into any of the categories (Phone games, Browser games, Fighting games, etc.)
9	1	message	这个问题是关于你在过去12个月之前任何时期的游戏活动情况。对于每种游戏，标明当你最大情况下，每周游完的小时数。将会给你提供6种不同的回答选项；请有且仅选择唯一选项：从不；少于1小时；1-3小时之间；3-5小时之间；5-10小时之间；超过10小时。如果你的回答介于截止点，请选择更低的选项（例如，如果每周游玩3小时，请选择选项“1-3小时之间”）。如果你正在游玩《堡垒之夜》或《我的世界》，请根据下列内容进行分类：\n《堡垒之夜：拯救世界》或《堡垒之夜：大逃杀》 = 第一人称\第三人称射击类\n《堡垒之夜：创造》 = 益智游戏\n《我的世界》 = 益智游戏	NA	3	Video Game Questionnaire	NA	THIS QUESTION IS ABOUT YOUR GAMING ACTIVITIES ANYTIME BEFORE THE PAST 12 MONTHS (i.e. more than a year ago). For each type of game, specify the number of hours played per week when you played the most. You will be given the choice between 6 different answers; Please choose one and only one: never ; less than 1 hour ; between 1 and 3 hours ; between 3 and 5 hours ; between 5 and 10 hours ; more than 10 hours. If your answer is at the cut-off, please select the lower option (e.g. if 3 hours per week, select 1 to 3) If you are playing Fortnite and/or Minecraft, please classify as shown: Fortnite: Save the World or Battle Royale = First/Third Person Shooters Fortnite Creative = Puzzle
10	1	radio	第一人称\第三人称射击类：（例如，使命召唤、光环、Apex英雄、半衰期、守望先锋、反恐精英等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	shooters_before_last_year	FIRST/THIRD PERSON SHOOTERS (Call Of Duty, Halo, Apex Legends, Half-Life, Overwatch, Counterstrike …)
11	1	radio	动作角色扮演游戏\冒险游戏：（例如，巫师、质量效应、辐射4、上古卷轴5：天际、侠盗猎车、刺客信条、古墓丽影、最后的生还者等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	action_before_last_year	ACTION-RPG/ADVENTURE (The Witcher, Mass Effect, Fallout 4, Skyrim, GTA, Assassin’s Creed, Tomb Raider, The Last of Us, ...)
12	1	radio	体育\竞速类：（例如，FIFA、NHL、马里奥赛车、极品飞车、极限竞速、火箭联盟等等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	sport_before_last_year	SPORTS/DRIVING (Fifa, NHL, Mario Kart, Need for Speed, Forza, Rocket League …)
13	1	radio	即时战略\多人在线竞技游戏（MOBA）：（例如，星际争霸系列、魔兽争霸系列、DotA、命令与征服、英雄联盟、帝国时代、宝可梦大集结等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	strategy_before_last_year	REAL-TIME STRATEGY/MOBA (Starcraft, Warcraft I, II & III, DotA, Command & Conquer, League of Legends, Age of Empires, Pokemon Unite)
14	1	radio	回合制\非动作角色扮演\幻想游戏：（例如，魔兽世界、最终幻想、宝可梦、神界：原罪2、时空之轮等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	turnbased_before_last_year	TURN-BASED/NON-ACTION ROLE-PLAYING/FANTASY (World of Warcraft, Final Fantasy, Pokemon, ORIGINAL SIN2, Chrono Trigger…)
15	1	radio	音游：（例如，吉他英雄、热舞革命、摇滚乐队、节奏光剑等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	music_before_last_year	MUSIC GAMES (Guitar Hero, DDR, Rock Band, Beat Saber …)
16	1	radio	其他不属于上述类型的游戏：（例如，手机游戏、网页游戏、格斗游戏等）	从不|少于1小时|1-3小时之间|3-5小时之间|5-10小时之间|超过10小时	1.5	Video Game Questionnaire	other_before_last_year	OTHER : games that don’t fit into any of the categories (Phone games, Browser games, Fighting games, etc.)
17	2	textLong	在您之前回答的关于在过去 12 个月内玩过的电子游戏的问题中，请用英文或中文提供游戏名称。	请在此输入游戏的名字	1.5	Name Games	games_past_year	In the previous questions you answered about video games you played in the past 12 month, please give the names of the games in English or Chinese. 
18	2	textLong	在您之前回答的关于12 个月之前玩过的电子游戏的问题中，请用英文或中文提供游戏名称。	请在此输入游戏的名字	1.5	Name Games	games_before_past_year	In the previous questions you answered about video games you played in the before the past 12 month, please give the names of the games in English or Chinese. 
