time,pix_x,pix_y
23.28396,977,61
23.30063,977,61
23.31729,977,61
23.33396,977,61
23.35076,977,61
23.36779,977,61
23.38476,977,61
23.40181,977,61
23.41884,977,61
23.43594,977,61
23.45268,977,61
23.46969,977,61
23.48636,977,61
23.50302,977,61
23.51969,977,61
23.53665,977,61
23.55332,977,61
23.57024,977,61
23.5872,977,61
23.60407,977,61
23.62074,977,61
23.63741,977,61
23.65407,977,61
23.67108,977,61
23.68775,977,61
23.70461,977,61
23.72128,977,61
23.73816,977,61
23.75482,977,61
23.77189,977,61
23.78856,977,61
23.80523,977,61
23.82189,977,63
23.83897,977,65
23.85596,977,71
23.8728,977,83
23.88953,977,95
23.90648,977,109
23.92315,977,124
23.94011,977,141
23.95678,979,158
23.97344,981,173
23.99011,984,183
24.00678,986,189
24.02344,989,193
24.04011,990,199
24.05678,994,206
24.07354,996,211
24.0903,999,215
24.10736,1001,220
24.12435,1005,226
24.14102,1009,234
24.15799,1011,246
24.17502,1014,256
24.19203,1015,261
24.2087,1016,263
24.22537,1016,263
24.24204,1016,263
24.25899,1016,264
24.27565,1016,264
24.29245,1016,264
24.30944,1016,264
24.32655,1016,264
24.34355,1016,266
24.36022,1016,269
24.3773,1016,271
24.39397,1016,271
24.41063,1016,274
24.4276,1017,278
24.44454,1019,288
24.46122,1019,294
24.47788,1019,295
24.49454,1019,296
24.5112,1019,298
24.52801,1019,298
24.54502,1019,298
24.56168,1019,298
24.57835,1019,298
24.59501,1019,298
24.61168,1019,298
24.62835,1019,298
24.64502,1019,298
24.66189,1019,298
24.67856,1019,298
24.69559,1019,298
24.71226,1019,298
24.72898,1019,298
24.74599,1019,298
24.76266,1019,298
24.77966,1019,298
24.79668,1019,298
24.81354,1019,298
24.83021,1019,298
24.84687,1019,298
24.86357,1019,298
24.88024,1019,298
24.8969,1019,298
24.91385,1019,298
24.93052,1019,298
24.94719,1019,298
24.9642,1019,298
24.98087,1019,298
24.99774,1019,298
25.01476,1019,298
25.03174,1019,298
25.04876,1019,298
25.06577,1019,298
25.08244,1019,298
25.09911,1019,298
25.11598,1019,298
25.13296,1019,298
25.14963,1019,298
25.1663,1019,298
25.18328,1019,298
25.20032,1019,298
25.21728,1019,298
25.23429,1019,298
25.25095,1019,298
25.26762,1019,298
25.28429,1019,298
25.30095,1019,298
25.31762,1019,298
25.33429,1019,298
25.35096,1019,298
25.36762,1019,298
25.38429,1019,298
25.40096,1019,298
25.4177,1019,298
25.43437,1019,298
25.45122,1019,298
25.46822,1019,298
25.48489,1019,298
25.50194,1019,298
25.51911,1019,298
25.53587,1019,298
25.55283,1019,298
25.5695,1019,298
25.58616,1019,298
25.60306,1019,298
25.62004,1019,298
25.6367,1019,298
25.6536,1019,298
25.67026,1019,298
25.68694,1019,298
25.7036,1019,298
25.72026,1019,298
25.73693,1019,298
25.75374,1019,298
25.77042,1019,298
25.78729,1019,298
25.80406,1019,298
25.82073,1019,298
25.83744,1019,298
25.85411,1019,298
25.87077,1019,298
25.88744,1019,298
25.90434,1019,298
25.92122,1019,298
25.93797,1019,298
25.955,1019,298
25.97199,1019,298
25.98866,1019,298
26.00533,1019,298
26.02228,1019,298
26.03996,1019,298
26.05663,1019,298
26.07329,1019,298
26.08996,1019,298
26.10681,1019,298
26.12408,1019,298
26.14081,1019,298
26.15775,1019,298
26.17517,1019,298
26.19184,1017,297
26.20857,1014,293
26.22523,1011,288
26.24204,1006,280
26.2589,1001,271
26.27575,996,261
26.29255,991,251
26.30956,987,243
26.32657,982,237
26.34358,979,231
26.36024,977,227
26.3772,976,225
26.39386,974,223
26.41053,973,221
26.42755,972,220
26.44453,972,220
26.46155,972,218
26.47821,972,218
26.49488,972,218
26.51172,972,218
26.52882,972,218
26.5458,972,218
26.56247,972,218
26.57914,972,218
26.59581,972,218
26.61255,972,218
26.62922,972,218
26.64588,972,218
26.66276,972,218
26.67942,972,218
26.69635,972,218
26.7131,972,218
26.72977,972,218
26.74643,972,218
26.7631,972,218
26.77977,972,218
26.79675,972,218
26.81342,972,218
26.83009,972,218
26.84676,972,218
26.86383,972,218
26.88089,972,218
26.89796,972,218
26.91487,972,218
26.93187,972,218
26.94877,972,218
26.96544,972,218
26.98211,972,218
26.99878,972,218
27.01544,972,218
27.0321,972,218
27.04887,972,218
27.06583,972,218
27.0825,972,212
27.09917,971,202
27.11614,969,187
27.13305,967,173
27.14972,966,162
27.16648,964,157
27.18347,964,156
27.2005,964,156
